Tree Number	Desc Ui	Term
C16.131.939.831	D058536	Pyelectasis
C16.131.939.915	D064749	Retrocaval Ureter
C16.300	D005315	Fetal Diseases
C16.300.030	D002821	Chorioamnionitis
C16.300.050	D058535	Echogenic Bowel
C16.300.060	D004899	Erythroblastosis, Fetal
C16.300.060.480	D015160	Hydrops Fetalis
C16.300.070	D063647	Fetal Alcohol Spectrum Disorders
C16.300.390	D005317	Fetal Growth Retardation
C16.300.420	D005311	Fetal Hypoxia
C16.300.570	D005320	Fetal Macrosomia
C16.300.580	D008471	Meconium Aspiration Syndrome
C16.300.790	D053589	Nuchal Cord
C16.300.895	D058536	Pyelectasis
C16.320	D030342	Genetic Diseases, Inborn
C16.320.033	D000312	Adrenal Hyperplasia, Congenital
C16.320.051	D016738	Alagille Syndrome
C16.320.060	D019896	alpha 1-Antitrypsin Deficiency
C16.320.070	D000745	Anemia, Hemolytic, Congenital
C16.320.070.095	D000742	Anemia, Dyserythropoietic, Congenital
C16.320.070.100	D000746	Anemia, Hemolytic, Congenital Nonspherocytic
C16.320.070.150	D000755	Anemia, Sickle Cell
C16.320.070.150.219	D056586	Acute Chest Syndrome
C16.320.070.150.440	D006450	Hemoglobin SC Disease
C16.320.070.150.670	D012805	Sickle Cell Trait
C16.320.070.365	D004612	Elliptocytosis, Hereditary
C16.320.070.480	D005955	Glucosephosphate Dehydrogenase Deficiency
C16.320.070.480.370	D005236	Favism
C16.320.070.490	D006445	Hemoglobin C Disease
C16.320.070.785	D013103	Spherocytosis, Hereditary
C16.320.070.875	D013789	Thalassemia
C16.320.070.875.100	D017085	alpha-Thalassemia
C16.320.070.875.150	D017086	beta-Thalassemia
C16.320.070.875.575	D055538	delta-Thalassemia
C16.320.077	D029502	Anemia, Hypoplastic, Congenital
C16.320.077.090	D029503	Anemia, Diamond-Blackfan
C16.320.077.280	D005199	Fanconi Anemia
C16.320.078	D054179	Angioedemas, Hereditary
C16.320.080	D001260	Ataxia Telangiectasia
C16.320.089	D056735	Autoimmune Lymphoproliferative Syndrome
C16.320.099	D025861	Blood Coagulation Disorders, Inherited
C16.320.099.037	D020016	Activated Protein C Resistance
C16.320.099.056	D000347	Afibrinogenemia
C16.320.099.075	D020152	Antithrombin III Deficiency
C16.320.099.080	D001606	Bernard-Soulier Syndrome
C16.320.099.300	D005166	Factor V Deficiency
C16.320.099.310	D005168	Factor VII Deficiency
C16.320.099.320	D005171	Factor X Deficiency
C16.320.099.325	D005173	Factor XI Deficiency
C16.320.099.330	D005175	Factor XII Deficiency
C16.320.099.335	D005177	Factor XIII Deficiency
C16.320.099.417	D055652	Gray Platelet Syndrome
C16.320.099.500	D006467	Hemophilia A
C16.320.099.510	D002836	Hemophilia B
C16.320.099.515	D022861	Hermanski-Pudlak Syndrome
C16.320.099.550	D007020	Hypoprothrombinemias
C16.320.099.690	D020151	Protein C Deficiency
C16.320.099.820	D013915	Thrombasthenia
C16.320.099.920	D014842	von Willebrand Diseases
C16.320.099.920.100	D056725	von Willebrand Disease, Type 1
C16.320.099.920.200	D056728	von Willebrand Disease, Type 2
C16.320.099.920.300	D056729	von Willebrand Disease, Type 3
C16.320.099.970	D014923	Wiskott-Aldrich Syndrome
C16.320.100	D053840	Brugada Syndrome
C16.320.129	D046589	CADASIL
C16.320.144	D003966	Camurati-Engelmann Syndrome
C16.320.160	D024741	Cardiomyopathy, Hypertrophic, Familial
C16.320.165	D058747	CHARGE Syndrome
C16.320.170	D002636	Cherubism
C16.320.180	D025063	Chromosome Disorders
C16.320.180.019	D058165	22q11 Deletion Syndrome
C16.320.180.019.500	D004062	DiGeorge Syndrome
C16.320.180.040	D017204	Angelman Syndrome
C16.320.180.080	D001506	Beckwith-Wiedemann Syndrome
C16.320.180.090	D019280	Branchio-Oto-Renal Syndrome
C16.320.180.190	D003410	Cri-du-Chat Syndrome
C16.320.180.210	D003635	De Lange Syndrome
C16.320.180.260	D004314	Down Syndrome
C16.320.180.380	D016142	Holoprosencephaly
C16.320.180.440	D054868	Jacobsen Distal 11q Deletion Syndrome
C16.320.180.700	D011218	Prader-Willi Syndrome
C16.320.180.790	D012415	Rubinstein-Taybi Syndrome
C16.320.180.830	D025064	Sex Chromosome Disorders
C16.320.180.830.300	D005600	Fragile X Syndrome
C16.320.180.830.670	D009958	Orofaciodigital Syndromes
C16.320.180.830.835	D058533	Sex Chromosome Disorders of Sex Development
C16.320.180.830.835.249	D006060	Gonadal Dysgenesis, Mixed
C16.320.180.830.835.500	D007713	Klinefelter Syndrome
C16.320.180.830.835.750	D014424	Turner Syndrome
C16.320.180.870	D056730	Silver-Russell Syndrome
C16.320.180.887	D058496	Smith-Magenis Syndrome
C16.320.180.905	D058495	Sotos Syndrome
C16.320.180.940	D017624	WAGR Syndrome
C16.320.180.970	D018980	Williams Syndrome
C16.320.180.985	D054877	Wolf-Hirschhorn Syndrome
C16.320.184	D000072661	Ciliopathies
C16.320.184.063	D056769	Alstrom Syndrome
C16.320.184.125	D020788	Bardet-Biedl Syndrome
C16.320.184.250	D016767	Caroli Disease
C16.320.184.500	D002925	Ciliary Motility Disorders
C16.320.184.500.531	D007619	Kartagener Syndrome
C16.320.185	D056685	Costello Syndrome
C16.320.190	D003550	Cystic Fibrosis
C16.320.215	D056731	Donohue Syndrome
C16.320.240	D004392	Dwarfism
C16.320.240.500	D000130	Achondroplasia
C16.320.240.500.500	D013796	Thanatophoric Dysplasia
C16.320.240.562	D003057	Cockayne Syndrome
C16.320.240.625	D003409	Congenital Hypothyroidism
C16.320.240.750	D046150	Laron Syndrome
C16.320.240.875	D050336	Mulibrey Nanism
C16.320.240.937	D056730	Silver-Russell Syndrome
C16.320.290	D015785	Eye Diseases, Hereditary
C16.320.290.019	D058540	Aicardi Syndrome
C16.320.290.040	D000417	Albinism
C16.320.290.040.090	D016117	Albinism, Ocular
C16.320.290.040.100	D016115	Albinism, Oculocutaneous
C16.320.290.040.100.400	D022861	Hermanski-Pudlak Syndrome
C16.320.290.040.600	D016116	Piebaldism
C16.320.290.078	D015783	Aniridia
C16.320.290.078.950	D017624	WAGR Syndrome
C16.320.290.142	D015794	Choroideremia
C16.320.290.152	D000071700	Cone-Rod Dystrophies
C16.320.290.162	D003317	Corneal Dystrophies, Hereditary
C16.320.290.162.204	D053559	Corneal Dystrophy, Juvenile Epithelial of Meesmann
C16.320.290.162.410	D005642	Fuchs' Endothelial Dystrophy
C16.320.290.235	D004370	Duane Retraction Syndrome
C16.320.290.468	D015799	Gyrate Atrophy
C16.320.290.564	D015418	Optic Atrophies, Hereditary
C16.320.290.564.100	D029241	Optic Atrophy, Autosomal Dominant
C16.320.290.564.400	D029242	Optic Atrophy, Hereditary, Leber
C16.320.290.564.980	D014929	Wolfram Syndrome
C16.320.290.660	D015792	Retinal Dysplasia
C16.320.290.684	D012174	Retinitis Pigmentosa
C16.320.290.684.249	D056769	Alstrom Syndrome
C16.320.290.684.500	D052245	Usher Syndromes
C16.320.290.763	D057826	Vitelliform Macular Dystrophy
C16.320.290.842	D056846	Weill-Marchesani Syndrome
C16.320.298	D000071070	Familial Multiple Lipomatosis
C16.320.306	D052159	Frasier Syndrome
C16.320.322	D040181	Genetic Diseases, X-Linked
C16.320.322.030	D058540	Aicardi Syndrome
C16.320.322.061	D013734	Androgen-Insensitivity Syndrome
C16.320.322.068	D056889	Barth Syndrome
C16.320.322.076	D055534	Bulbo-Spinal Atrophy, X-Linked
C16.320.322.092	D015794	Choroideremia
C16.320.322.100	D057973	Dent Disease
C16.320.322.108	D019871	Dyskeratosis Congenita
C16.320.322.116	D053358	Ectodermal Dysplasia 1, Anhidrotic
C16.320.322.124	D000795	Fabry Disease
C16.320.322.186	D005489	Focal Dermal Hypoplasia
C16.320.322.201	D052120	Glycogen Storage Disease Type IIb
C16.320.322.217	D006015	Glycogen Storage Disease Type VIII
C16.320.322.233	D006105	Granulomatous Disease, Chronic
C16.320.322.235	D002836	Hemophilia B
C16.320.322.237	D053307	Hyper-IgM Immunodeficiency Syndrome, Type 1
C16.320.322.241	D016114	Ichthyosis, X-Linked
C16.320.322.370	D056830	Isolated Noncompaction of the Ventricular Myocardium
C16.320.322.500	D038901	Mental Retardation, X-Linked
C16.320.322.500.124	D000326	Adrenoleukodystrophy
C16.320.322.500.186	D054221	Classical Lissencephalies and Subcortical Band Heterotopias
C16.320.322.500.249	D038921	Coffin-Lowry Syndrome
C16.320.322.500.500	D005600	Fragile X Syndrome
C16.320.322.500.625	D007926	Lesch-Nyhan Syndrome
C16.320.322.500.687	D007706	Menkes Kinky Hair Syndrome
C16.320.322.500.750	D016532	Mucopolysaccharidosis II
C16.320.322.500.875	D015325	Pyruvate Dehydrogenase Complex Deficiency Disease
C16.320.322.500.937	D015518	Rett Syndrome
C16.320.322.562	D020388	Muscular Dystrophy, Duchenne
C16.320.322.625	D020389	Muscular Dystrophy, Emery-Dreifuss
C16.320.322.750	D009800	Oculocerebrorenal Syndrome
C16.320.322.828	D020163	Ornithine Carbamoyltransferase Deficiency Disease
C16.320.322.906	D020371	Pelizaeus-Merzbacher Disease
C16.320.322.937	D014923	Wiskott-Aldrich Syndrome
C16.320.322.968	D053632	X-Linked Combined Immunodeficiency Diseases
C16.320.338	D050174	Genetic Diseases, Y-Linked
C16.320.355	D031845	Hajdu-Cheney Syndrome
C16.320.365	D006453	Hemoglobinopathies
C16.320.365.155	D000755	Anemia, Sickle Cell
C16.320.365.155.219	D056586	Acute Chest Syndrome
C16.320.365.155.440	D006450	Hemoglobin SC Disease
C16.320.365.155.668	D012805	Sickle Cell Trait
C16.320.365.463	D006445	Hemoglobin C Disease
C16.320.365.826	D013789	Thalassemia
C16.320.365.826.100	D017085	alpha-Thalassemia
C16.320.365.826.100.350	D015160	Hydrops Fetalis
C16.320.365.826.150	D017086	beta-Thalassemia
C16.320.365.826.575	D055538	delta-Thalassemia
C16.320.382	D056660	Hereditary Autoinflammatory Diseases
C16.320.382.250	D001528	Behcet Syndrome
C16.320.382.500	D056587	Cryopyrin-Associated Periodic Syndromes
C16.320.382.625	D010505	Familial Mediterranean Fever
C16.320.382.750	D054078	Mevalonate Kinase Deficiency
C16.320.400	D020271	Heredodegenerative Disorders, Nervous System
C16.320.400.024	D038261	Alexander Disease
C16.320.400.050	D028227	Amyloid Neuropathies, Familial
C16.320.400.150	D017825	Canavan Disease
C16.320.400.200	D003057	Cockayne Syndrome
C16.320.400.330	D004422	Dystonia Musculorum Deformans
C16.320.400.350	D016098	Gerstmann-Straussler-Scheinker Disease
C16.320.400.361	D006527	Hepatolenticular Degeneration
C16.320.400.367	D020279	Hereditary Central Nervous System Demyelinating Diseases
C16.320.400.375	D015417	Hereditary Sensory and Motor Neuropathy
C16.320.400.375.099	D056769	Alstrom Syndrome
C16.320.400.375.200	D002607	Charcot-Marie-Tooth Disease
C16.320.400.375.490	D056768	Giant Axonal Neuropathy
C16.320.400.375.780	D012035	Refsum Disease
C16.320.400.375.820	D015419	Spastic Paraplegia, Hereditary
C16.320.400.415	D009477	Hereditary Sensory and Autonomic Neuropathies
C16.320.400.415.309	D004402	Dysautonomia, Familial
C16.320.400.430	D006816	Huntington Disease
C16.320.400.480	D020192	Lafora Disease
C16.320.400.525	D038901	Mental Retardation, X-Linked
C16.320.400.525.124	D000326	Adrenoleukodystrophy
C16.320.400.525.249	D038921	Coffin-Lowry Syndrome
C16.320.400.525.500	D005600	Fragile X Syndrome
C16.320.400.525.625	D007926	Lesch-Nyhan Syndrome
C16.320.400.525.687	D007706	Menkes Kinky Hair Syndrome
C16.320.400.525.750	D016532	Mucopolysaccharidosis II
C16.320.400.525.875	D015325	Pyruvate Dehydrogenase Complex Deficiency Disease
C16.320.400.525.937	D015518	Rett Syndrome
C16.320.400.540	D009224	Myotonia Congenita
C16.320.400.542	D009223	Myotonic Dystrophy
C16.320.400.550	D054546	Neuroacanthocytosis
C16.320.400.560	D017253	Neurofibromatoses
C16.320.400.560.400	D009456	Neurofibromatosis 1
C16.320.400.560.700	D016518	Neurofibromatosis 2
C16.320.400.600	D009472	Neuronal Ceroid-Lipofuscinoses
C16.320.400.630	D015418	Optic Atrophies, Hereditary
C16.320.400.630.100	D029241	Optic Atrophy, Autosomal Dominant
C16.320.400.630.400	D029242	Optic Atrophy, Hereditary, Leber
C16.320.400.630.980	D014929	Wolfram Syndrome
C16.320.400.650	D006211	Pantothenate Kinase-Associated Neurodegeneration
C16.320.400.765	D014897	Spinal Muscular Atrophies of Childhood
C16.320.400.780	D013132	Spinocerebellar Degenerations
C16.320.400.780.200	D005621	Friedreich Ataxia
C16.320.400.780.500	D002527	Myoclonic Cerebellar Dyssynergia
C16.320.400.780.750	D009849	Olivopontocerebellar Atrophies
C16.320.400.780.875	D020754	Spinocerebellar Ataxias
C16.320.400.780.875.500	D017827	Machado-Joseph Disease
C16.320.400.820	D005879	Tourette Syndrome
C16.320.400.880	D014402	Tuberous Sclerosis
C16.320.400.940	D020194	Unverricht-Lundborg Syndrome
C16.320.413	D053306	Hyper-IgM Immunodeficiency Syndrome
C16.320.427	D050010	Hyperthyroxinemia, Familial Dysalbuminemic
C16.320.467	D017436	Kallmann Syndrome
C16.320.480	D007619	Kartagener Syndrome
C16.320.495	D065768	Lennox Gastaut Syndrome
C16.320.510	D055947	Loeys-Dietz Syndrome
C16.320.540	D008382	Marfan Syndrome
C16.320.565	D008661	Metabolism, Inborn Errors
C16.320.565.100	D000592	Amino Acid Metabolism, Inborn Errors
C16.320.565.100.102	D000417	Albinism
C16.320.565.100.102.090	D016117	Albinism, Ocular
C16.320.565.100.102.100	D016115	Albinism, Oculocutaneous
C16.320.565.100.102.100.400	D022861	Hermanski-Pudlak Syndrome
C16.320.565.100.102.600	D016116	Piebaldism
C16.320.565.100.187	D000474	Alkaptonuria
C16.320.565.100.477	D020158	Hyperglycinemia, Nonketotic
C16.320.565.100.480	D020138	Hyperhomocysteinemia
C16.320.565.100.480.500	D006712	Homocystinuria
C16.320.565.100.544	D020167	Hyperlysinemias
C16.320.565.100.608	D008375	Maple Syrup Urine Disease
C16.320.565.100.614	D054069	Multiple Acyl Coenzyme A Dehydrogenase Deficiency
C16.320.565.100.620	D009100	Multiple Carboxylase Deficiency
C16.320.565.100.620.100	D028921	Biotinidase Deficiency
C16.320.565.100.620.380	D028922	Holocarboxylase Synthetase Deficiency
C16.320.565.100.766	D010661	Phenylketonurias
C16.320.565.100.766.500	D017042	Phenylketonuria, Maternal
C16.320.565.100.794	D056732	Prolidase Deficiency
C16.320.565.100.823	D056693	Propionic Acidemia
C16.320.565.100.880	D020176	Tyrosinemias
C16.320.565.100.940	D056806	Urea Cycle Disorders, Inborn
C16.320.565.100.940.124	D056807	Argininosuccinic Aciduria
C16.320.565.100.940.249	D020165	Carbamoyl-Phosphate Synthase I Deficiency Disease
C16.320.565.100.940.374	D020159	Citrullinemia
C16.320.565.100.940.500	D020162	Hyperargininemia
C16.320.565.100.940.750	D020163	Ornithine Carbamoyltransferase Deficiency Disease
C16.320.565.151	D020157	Amino Acid Transport Disorders, Inborn
C16.320.565.151.355	D006250	Hartnup Disease
C16.320.565.151.600	D009800	Oculocerebrorenal Syndrome
C16.320.565.176	D028226	Amyloidosis, Familial
C16.320.565.176.050	D028227	Amyloid Neuropathies, Familial
C16.320.565.176.160	D028243	Cerebral Amyloid Angiopathy, Familial
C16.320.565.189	D020739	Brain Diseases, Metabolic, Inborn
C16.320.565.189.084	D000326	Adrenoleukodystrophy
C16.320.565.189.168	D028243	Cerebral Amyloid Angiopathy, Familial
C16.320.565.189.320	D005693	Galactosemias
C16.320.565.189.355	D006250	Hartnup Disease
C16.320.565.189.360	D006527	Hepatolenticular Degeneration
C16.320.565.189.362	D020279	Hereditary Central Nervous System Demyelinating Diseases
C16.320.565.189.362.250	D000326	Adrenoleukodystrophy
C16.320.565.189.362.312	D038261	Alexander Disease
C16.320.565.189.362.375	D017825	Canavan Disease
C16.320.565.189.362.500	D007965	Leukodystrophy, Globoid Cell
C16.320.565.189.362.550	D007966	Leukodystrophy, Metachromatic
C16.320.565.189.362.775	D020371	Pelizaeus-Merzbacher Disease
C16.320.565.189.365	D006712	Homocystinuria
C16.320.565.189.375	D020158	Hyperglycinemia, Nonketotic
C16.320.565.189.380	D020167	Hyperlysinemias
C16.320.565.189.412	D007888	Leigh Disease
C16.320.565.189.425	D007926	Lesch-Nyhan Syndrome
C16.320.565.189.435	D020140	Lysosomal Storage Diseases, Nervous System
C16.320.565.189.435.295	D005645	Fucosidosis
C16.320.565.189.435.340	D006009	Glycogen Storage Disease Type II
C16.320.565.189.435.590	D009081	Mucolipidoses
C16.320.565.189.435.810	D029461	Sialic Acid Storage Disease
C16.320.565.189.435.825	D013106	Sphingolipidoses
C16.320.565.189.435.825.200	D000795	Fabry Disease
C16.320.565.189.435.825.250	D055577	Farber Lipogranulomatosis
C16.320.565.189.435.825.300	D005733	Gangliosidoses
C16.320.565.189.435.825.300.300	D020143	Gangliosidoses, GM2
C16.320.565.189.435.825.300.300.249	D012497	Sandhoff Disease
C16.320.565.189.435.825.300.300.500	D013661	Tay-Sachs Disease
C16.320.565.189.435.825.300.300.750	D049290	Tay-Sachs Disease, AB Variant
C16.320.565.189.435.825.300.400	D016537	Gangliosidosis, GM1
C16.320.565.189.435.825.400	D005776	Gaucher Disease
C16.320.565.189.435.825.590	D007965	Leukodystrophy, Globoid Cell
C16.320.565.189.435.825.700	D009542	Niemann-Pick Diseases
C16.320.565.189.435.825.700.500	D052536	Niemann-Pick Disease, Type A
C16.320.565.189.435.825.700.750	D052537	Niemann-Pick Disease, Type B
C16.320.565.189.435.825.700.875	D052556	Niemann-Pick Disease, Type C
C16.320.565.189.435.825.775	D012618	Sea-Blue Histiocyte Syndrome
C16.320.565.189.435.825.850	D052516	Sulfatidosis
C16.320.565.189.435.825.850.500	D007966	Leukodystrophy, Metachromatic
C16.320.565.189.435.825.850.750	D052517	Multiple Sulfatase Deficiency Disease
C16.320.565.189.520	D008375	Maple Syrup Urine Disease
C16.320.565.189.535	D017241	MELAS Syndrome
C16.320.565.189.540	D007706	Menkes Kinky Hair Syndrome
C16.320.565.189.545	D017243	MERRF Syndrome
C16.320.565.189.593	D054078	Mevalonate Kinase Deficiency
C16.320.565.189.640	D009800	Oculocerebrorenal Syndrome
C16.320.565.189.687	D010661	Phenylketonurias
C16.320.565.189.687.500	D017042	Phenylketonuria, Maternal
C16.320.565.189.725	D015324	Pyruvate Carboxylase Deficiency Disease
C16.320.565.189.750	D015325	Pyruvate Dehydrogenase Complex Deficiency Disease
C16.320.565.189.813	D012035	Refsum Disease
C16.320.565.189.844	D052919	Refsum Disease, Infantile
C16.320.565.189.875	D020176	Tyrosinemias
C16.320.565.189.937	D056806	Urea Cycle Disorders, Inborn
C16.320.565.189.937.124	D056807	Argininosuccinic Aciduria
C16.320.565.189.937.249	D020165	Carbamoyl-Phosphate Synthase I Deficiency Disease
C16.320.565.189.937.374	D020159	Citrullinemia
C16.320.565.189.937.500	D020162	Hyperargininemia
C16.320.565.189.937.750	D020163	Ornithine Carbamoyltransferase Deficiency Disease
C16.320.565.189.968	D015211	Zellweger Syndrome
C16.320.565.202	D002239	Carbohydrate Metabolism, Inborn Errors
C16.320.565.202.125	D018981	Congenital Disorders of Glycosylation
C16.320.565.202.251	D015318	Fructose Metabolism, Inborn Errors
C16.320.565.202.251.221	D015319	Fructose-1,6-Diphosphatase Deficiency
C16.320.565.202.251.271	D005633	Fructose Intolerance
C16.320.565.202.303	D005645	Fucosidosis
C16.320.565.202.355	D005693	Galactosemias
C16.320.565.202.402	D005955	Glucosephosphate Dehydrogenase Deficiency
C16.320.565.202.449	D006008	Glycogen Storage Disease
C16.320.565.202.449.448	D005953	Glycogen Storage Disease Type I
C16.320.565.202.449.500	D006009	Glycogen Storage Disease Type II
C16.320.565.202.449.510	D052120	Glycogen Storage Disease Type IIb
C16.320.565.202.449.520	D006010	Glycogen Storage Disease Type III
C16.320.565.202.449.540	D006011	Glycogen Storage Disease Type IV
C16.320.565.202.449.560	D006012	Glycogen Storage Disease Type V
C16.320.565.202.449.580	D006013	Glycogen Storage Disease Type VI
C16.320.565.202.449.600	D006014	Glycogen Storage Disease Type VII
C16.320.565.202.449.620	D006015	Glycogen Storage Disease Type VIII
C16.320.565.202.460	D006960	Hyperoxaluria, Primary
C16.320.565.202.589	D007787	Lactose Intolerance
C16.320.565.202.607	D044904	Mannosidase Deficiency Diseases
C16.320.565.202.607.500	D008363	alpha-Mannosidosis
C16.320.565.202.607.750	D044905	beta-Mannosidosis
C16.320.565.202.670	D009081	Mucolipidoses
C16.320.565.202.715	D009083	Mucopolysaccharidoses
C16.320.565.202.715.640	D008059	Mucopolysaccharidosis I
C16.320.565.202.715.645	D016532	Mucopolysaccharidosis II
C16.320.565.202.715.650	D009084	Mucopolysaccharidosis III
C16.320.565.202.715.655	D009085	Mucopolysaccharidosis IV
C16.320.565.202.715.670	D009087	Mucopolysaccharidosis VI
C16.320.565.202.715.675	D016538	Mucopolysaccharidosis VII
C16.320.565.202.720	D009100	Multiple Carboxylase Deficiency
C16.320.565.202.720.100	D028921	Biotinidase Deficiency
C16.320.565.202.720.380	D028922	Holocarboxylase Synthetase Deficiency
C16.320.565.202.810	D015323	Pyruvate Metabolism, Inborn Errors
C16.320.565.202.810.444	D007888	Leigh Disease
C16.320.565.202.810.666	D015324	Pyruvate Carboxylase Deficiency Disease
C16.320.565.202.810.766	D015325	Pyruvate Dehydrogenase Complex Deficiency Disease
C16.320.565.240	D030401	Cytochrome-c Oxidase Deficiency
C16.320.565.300	D006933	Hyperbilirubinemia, Hereditary
C16.320.565.300.281	D003414	Crigler-Najjar Syndrome
C16.320.565.300.528	D005878	Gilbert Disease
C16.320.565.300.764	D007566	Jaundice, Chronic Idiopathic
C16.320.565.398	D008052	Lipid Metabolism, Inborn Errors
C16.320.565.398.224	D056889	Barth Syndrome
C16.320.565.398.450	D006950	Hyperlipidemia, Familial Combined
C16.320.565.398.465	D008072	Hyperlipoproteinemia Type I
C16.320.565.398.481	D006938	Hyperlipoproteinemia Type II
C16.320.565.398.483	D006952	Hyperlipoproteinemia Type III
C16.320.565.398.487	D006953	Hyperlipoproteinemia Type IV
C16.320.565.398.493	D006954	Hyperlipoproteinemia Type V
C16.320.565.398.500	D007009	Hypolipoproteinemias
C16.320.565.398.500.330	D052456	Hypoalphalipoproteinemias
C16.320.565.398.500.330.500	D007863	Lecithin Cholesterol Acyltransferase Deficiency
C16.320.565.398.500.330.750	D013631	Tangier Disease
C16.320.565.398.500.440	D006995	Hypobetalipoproteinemias
C16.320.565.398.500.440.500	D000012	Abetalipoproteinemia
C16.320.565.398.641	D008064	Lipidoses
C16.320.565.398.641.201	D015217	Cholesterol Ester Storage Disease
C16.320.565.398.641.201.500	D015223	Wolman Disease
C16.320.565.398.641.509	D009472	Neuronal Ceroid-Lipofuscinoses
C16.320.565.398.641.723	D016111	Sjogren-Larsson Syndrome
C16.320.565.398.641.803	D013106	Sphingolipidoses
C16.320.565.398.641.803.300	D000795	Fabry Disease
C16.320.565.398.641.803.325	D055577	Farber Lipogranulomatosis
C16.320.565.398.641.803.350	D005733	Gangliosidoses
C16.320.565.398.641.803.350.300	D020143	Gangliosidoses, GM2
C16.320.565.398.641.803.350.300.700	D012497	Sandhoff Disease
C16.320.565.398.641.803.350.300.850	D013661	Tay-Sachs Disease
C16.320.565.398.641.803.350.300.925	D049290	Tay-Sachs Disease, AB Variant
C16.320.565.398.641.803.350.360	D016537	Gangliosidosis, GM1
C16.320.565.398.641.803.441	D005776	Gaucher Disease
C16.320.565.398.641.803.585	D007965	Leukodystrophy, Globoid Cell
C16.320.565.398.641.803.730	D009542	Niemann-Pick Diseases
C16.320.565.398.641.803.730.500	D052536	Niemann-Pick Disease, Type A
C16.320.565.398.641.803.730.750	D052537	Niemann-Pick Disease, Type B
C16.320.565.398.641.803.730.875	D052556	Niemann-Pick Disease, Type C
C16.320.565.398.641.803.850	D012618	Sea-Blue Histiocyte Syndrome
C16.320.565.398.641.803.925	D052516	Sulfatidosis
C16.320.565.398.641.803.925.500	D007966	Leukodystrophy, Metachromatic
C16.320.565.398.641.803.925.750	D052517	Multiple Sulfatase Deficiency Disease
C16.320.565.398.745	D052497	Lipodystrophy, Congenital Generalized
C16.320.565.398.850	D019082	Smith-Lemli-Opitz Syndrome
C16.320.565.398.925	D019294	Xanthomatosis, Cerebrotendinous
C16.320.565.595	D016464	Lysosomal Storage Diseases
C16.320.565.595.100	D054880	Aspartylglucosaminuria
C16.320.565.595.201	D015217	Cholesterol Ester Storage Disease
C16.320.565.595.201.500	D015223	Wolman Disease
C16.320.565.595.377	D003554	Cystinosis
C16.320.565.595.554	D020140	Lysosomal Storage Diseases, Nervous System
C16.320.565.595.554.295	D005645	Fucosidosis
C16.320.565.595.554.340	D006009	Glycogen Storage Disease Type II
C16.320.565.595.554.590	D009081	Mucolipidoses
C16.320.565.595.554.810	D029461	Sialic Acid Storage Disease
C16.320.565.595.554.825	D013106	Sphingolipidoses
C16.320.565.595.554.825.200	D000795	Fabry Disease
C16.320.565.595.554.825.250	D055577	Farber Lipogranulomatosis
C16.320.565.595.554.825.300	D005733	Gangliosidoses
C16.320.565.595.554.825.300.300	D020143	Gangliosidoses, GM2
C16.320.565.595.554.825.300.300.800	D012497	Sandhoff Disease
C16.320.565.595.554.825.300.300.840	D013661	Tay-Sachs Disease
C16.320.565.595.554.825.300.300.920	D049290	Tay-Sachs Disease, AB Variant
C16.320.565.595.554.825.300.400	D016537	Gangliosidosis, GM1
C16.320.565.595.554.825.400	D005776	Gaucher Disease
C16.320.565.595.554.825.590	D007965	Leukodystrophy, Globoid Cell
C16.320.565.595.554.825.700	D009542	Niemann-Pick Diseases
C16.320.565.595.554.825.700.500	D052536	Niemann-Pick Disease, Type A
C16.320.565.595.554.825.700.750	D052537	Niemann-Pick Disease, Type B
C16.320.565.595.554.825.700.875	D052556	Niemann-Pick Disease, Type C
C16.320.565.595.554.825.775	D012618	Sea-Blue Histiocyte Syndrome
C16.320.565.595.554.825.850	D052516	Sulfatidosis
C16.320.565.595.554.825.850.500	D007966	Leukodystrophy, Metachromatic
C16.320.565.595.554.825.850.750	D052517	Multiple Sulfatase Deficiency Disease
C16.320.565.595.577	D044904	Mannosidase Deficiency Diseases
C16.320.565.595.577.500	D008363	alpha-Mannosidosis
C16.320.565.595.577.750	D044905	beta-Mannosidosis
C16.320.565.595.600	D009083	Mucopolysaccharidoses
C16.320.565.595.600.640	D008059	Mucopolysaccharidosis I
C16.320.565.595.600.645	D016532	Mucopolysaccharidosis II
C16.320.565.595.600.650	D009084	Mucopolysaccharidosis III
C16.320.565.595.600.655	D009085	Mucopolysaccharidosis IV
C16.320.565.595.600.670	D009087	Mucopolysaccharidosis VI
C16.320.565.595.600.675	D016538	Mucopolysaccharidosis VII
C16.320.565.595.800	D058631	Pycnodysostosis
C16.320.565.618	D008664	Metal Metabolism, Inborn Errors
C16.320.565.618.337	D006432	Hemochromatosis
C16.320.565.618.403	D006527	Hepatolenticular Degeneration
C16.320.565.618.482	D007014	Hypophosphatasia
C16.320.565.618.544	D007015	Hypophosphatemia, Familial
C16.320.565.618.544.500	D053098	Familial Hypophosphatemic Rickets
C16.320.565.618.590	D007706	Menkes Kinky Hair Syndrome
C16.320.565.618.711	D010245	Paralyses, Familial Periodic
C16.320.565.618.711.550	D020514	Hypokalemic Periodic Paralysis
C16.320.565.618.711.600	D020513	Paralysis, Hyperkalemic Periodic
C16.320.565.618.815	D011547	Pseudohypoparathyroidism
C16.320.565.618.815.815	D011556	Pseudopseudohypoparathyroidism
C16.320.565.663	D018901	Peroxisomal Disorders
C16.320.565.663.050	D020642	Acatalasia
